time_s,strain_1,strain_2,strain_3,strain_4,strain_5,strain_6,strain_7,strain_8,strain_9,strain_10,strain_11,strain_12,strain_13,strain_14,strain_15,strain_16
220446.9387755102,-40.73784709267299,43.700747652189946,42.3502374358233,145.40810314158406,45.71466630609582,-17.59145997965161,-11.80398872553351,131.1759343353119,3.9398437571084246,-33.340475796927585,36.02081937409595,-4.527748903206922,-4.210068123745205,-20.21352881459347,-24.48499038823873,-229.35082219802402
227791.83673469388,-41.971611716582466,45.11080944245491,43.73255318818845,149.84246512313922,47.130300392537514,-18.091357093528476,-12.028884522036421,135.0610664012071,4.106373273373205,-34.356643819291364,37.148128490110295,-4.6926180744316905,-4.363774827788226,-20.926332587211835,-25.419689164118623,-236.26245753478807
235136.73469387754,-43.185978352820946,46.508600223673334,45.1073534260538,154.21948314802046,48.53280256181415,-18.580801674200924,-12.234796700649936,138.89060369767742,4.275661901835983,-35.35901911263821,38.262911338484216,-4.855864813860878,-4.522735823387319,-21.638904478517308,-26.36485723205629,-243.08372106751273
242481.6326530612,-44.38426399601483,47.896218299636494,46.475923278662385,158.54896285170886,49.924418330286215,-19.061581071834514,-12.424971400076988,142.6740527547089,4.447237843024718,-36.34996019006823,39.36730987142225,-5.01776655220741,-4.686052643284198,-22.351284139457924,-27.318704376169787,-249.83006608926726
249826.53061224488,-45.5825496392089,49.283836375599584,47.84449313127088,162.87844255539724,51.316034098758294,-19.54236046946813,-12.615146099504122,146.4575018117404,4.618813784213473,-37.34090126749832,40.47170840436009,-5.17966829055394,-4.849369463175967,-23.063663800407856,-28.272551520283706,-256.5764111109862
257171.42857142855,-46.78083528240306,50.671454451562774,49.21306298387946,167.20792225908568,52.70764986723039,-20.023139867101772,-12.805320798931254,150.2409508687719,4.790389725402262,-38.33184234492844,41.576106937297936,-5.34157002890047,-5.01268628307663,-23.776043461360327,-29.22639866439254,-263.3227561327475
264516.32653061225,-47.97912092559701,52.059072527525856,50.58163283648805,171.53740196277417,54.09926563570245,-20.503919264735483,-12.995495498358121,154.0243999258034,4.961965666591068,-39.32278342235846,42.680505470235836,-5.503471767246975,-5.176003102967923,-24.488423122300944,-30.180245808506037,-270.0691011544732
271861.2244897959,-49.17740656879134,53.446690603489046,51.95020268909655,175.86688166646258,55.490881404174566,-20.984698662368995,-13.185670197785255,157.80784898283488,5.133541607779811,-40.313724499788556,43.78490400317386,-5.665373505593525,-5.339319922858051,-25.20080278324579,-31.134092952616037,-276.8154461762345
279206.1224489796,-50.37569221198549,54.834308679452164,53.31877254170517,180.196361370151,56.88249717264663,-21.465478060002596,-13.375844897212176,161.59129803986642,5.305117548968691,-41.30466557721865,44.88930253611174,-5.827275243940016,-5.502636742758238,-25.913182444194877,-32.08794009671947,-283.5617911979822
286551.02040816325,-51.57131643416533,56.22031407333896,54.68625359109367,184.51808390422815,58.27244531106342,-21.944728463556775,-13.56374792188105,165.36753370861047,5.47688073623577,-42.29378754114307,45.99190468219466,-5.988902178946487,-5.666781326674713,-26.625642755583392,-33.042887643117574,-290.2959844041468
293895.9183673469,-52.75376907942352,57.59833817982145,56.04834606975739,188.80141561036817,59.654140220309685,-22.416411758028502,-13.740408253771879,169.10806976493606,5.6495706187205155,-43.27390657267163,47.08561637182123,-6.14916909112577,-5.835022578263993,-27.338502212192605,-34.003281164906674,-296.97003734215593
301240.8163265306,-53.93259921384486,58.97416723401168,57.40895655761906,193.07418888519268,61.03356528652287,-22.886013909534533,-13.913976565879333,172.83878754106397,5.822515365409245,-44.25154957415738,48.17688296508212,-6.309061963244447,-6.0043905152287715,-28.05147144364328,-34.96517246520252,-303.6275502125012
308585.71428571426,-55.107806837429386,60.34780123590962,58.76808505467855,197.33640372870155,62.41072050970297,-23.35353491807526,-14.084452858202408,176.55968703699403,5.9957149763020015,-45.226716545600375,49.26570446197763,-6.468580795302557,-6.1748851375694205,-28.76455044994474,-35.92856154400945,-310.2685230152064
315930.61224489793,-56.27939195017701,61.71924018551522,60.125731560935996,201.58806014089495,63.78560588984994,-23.818974783650116,-14.251837130742055,180.2707682527263,6.169169451398676,-46.199407487000485,50.35208086250746,-6.6277255873000165,-6.346506445277947,-29.47773923110291,-36.89344840132068,-316.8929557502817
323275.5102040816,-57.447354552087646,63.08848408282854,61.48189607639137,205.82915812177265,65.15822142696383,-24.282333506259466,-14.416129383497587,183.97203118826076,6.342878790699368,-47.169622398357895,51.43601216667188,-6.786496339236941,-6.519254438358531,-30.19103778709492,-37.85983303715984,-323.500848417722
330620.4081632653,-58.61169464316106,64.45553292784952,62.836578601044586,210.05969767133493,66.52856712104465,-24.743611085903268,-14.57732961646927,187.6634758435975,6.5168429942042545,-48.13736127967257,52.51749837447058,-6.9448930511132145,-6.693129116827797,-30.904446117950425,-38.82771545149398,-330.0922010174917
337965.306122449,-59.77241222339778,65.82038672057813,64.18977913489579,214.27967878958157,67.89664297209232,-25.202807522581484,-14.7354378296575,191.34510221873637,6.69106206191308,-49.102624130944236,53.59653948590378,-7.102915722928906,-6.868130480655093,-31.617964223642307,-39.79709564434153,-336.6670135496619
345310.20408163266,-60.443021682945954,66.72610369682349,65.0977561172626,216.75126744043294,68.73165117650892,-25.419692704047346,-14.669574903673142,193.36164247976077,6.844522010627057,-49.67185240216921,54.26384595162789,-7.229207471128599,-7.006490684761321,-32.16835959135391,-40.592283102983366,-340.41052461064197
352655.10204081633,-60.889357596693635,67.42237453020964,65.80298711943458,218.42408343350297,69.32364020769946,-25.525537665807974,-14.500437742217835,194.6175990662994,6.988705694468323,-50.06010172441906,54.743069429888465,-7.3409029110862285,-7.128847542146229,-32.64482878676306,-41.30928192662538,-342.8608288243548
