parameter,label,value,value_plot,strain_rmse,volume_rmse,baseline_value,baseline_value_plot
tpeak,Time to peak tpeak (hours),565416.1875,157.06005208333335,54.51891250502459,,393333.0,109.25916666666667
tpeak,Time to peak tpeak (hours),589999.5,163.88875,55.546353423745515,,393333.0,109.25916666666667
d,Decay rate d,0.1,0.1,49.007053881370716,,0.4,0.4
d,Decay rate d,0.19375,0.19375,49.03636548168654,,0.4,0.4
d,Decay rate d,0.2875,0.2875,49.09494053594432,,0.4,0.4
d,Decay rate d,0.38125,0.38125,49.18038504487757,,0.4,0.4
d,Decay rate d,0.475,0.475,49.29042171162298,,0.4,0.4
d,Decay rate d,0.56875,0.56875,49.422891850416505,,0.4,0.4
d,Decay rate d,0.6625,0.6625,49.57575593852421,,0.4,0.4
d,Decay rate d,0.75625,0.75625,49.747092973774365,,0.4,0.4
d,Decay rate d,0.85,0.85,49.935098804169364,,0.4,0.4
d,Decay rate d,0.94375,0.94375,50.13808359375031,,0.4,0.4
d,Decay rate d,1.0375,1.0375,50.35446858166849,,0.4,0.4
d,Decay rate d,1.13125,1.13125,50.58278228068094,,0.4,0.4
d,Decay rate d,1.225,1.225,50.82165624825923,,0.4,0.4
d,Decay rate d,1.31875,1.31875,51.06982054921169,,0.4,0.4
d,Decay rate d,1.4125,1.4125,51.326099013996505,,0.4,0.4
d,Decay rate d,1.50625,1.50625,51.589404382380174,,0.4,0.4
d,Decay rate d,1.6,1.6,51.85873340823379,,0.4,0.4
E,Young’s modulus E (GPa),499999999.99999994,0.49999999999999994,229.007268204457,,2000000000.0,2.0
E,Young’s modulus E (GPa),594603557.5013604,0.5946035575013604,181.4083134916372,,2000000000.0,2.0
E,Young’s modulus E (GPa),707106781.1865475,0.7071067811865476,142.13079841471827,,2000000000.0,2.0
E,Young’s modulus E (GPa),840896415.2537146,0.8408964152537146,110.20535346033344,,2000000000.0,2.0
E,Young’s modulus E (GPa),1000000000.0,1.0,85.03354286031468,,2000000000.0,2.0
E,Young’s modulus E (GPa),1189207115.002721,1.189207115002721,66.43123547994281,,2000000000.0,2.0
E,Young’s modulus E (GPa),1414213562.373095,1.4142135623730951,54.531210988073276,,2000000000.0,2.0
E,Young’s modulus E (GPa),1681792830.5074294,1.6817928305074294,49.200833307332864,,2000000000.0,2.0
E,Young’s modulus E (GPa),2000000000.0000002,2.0000000000000004,49.20049579884035,,2000000000.0,2.0
E,Young’s modulus E (GPa),2378414230.0054426,2.3784142300054425,52.434836699337424,,2000000000.0,2.0
E,Young’s modulus E (GPa),2828427124.7461905,2.8284271247461907,57.081490750033396,,2000000000.0,2.0
E,Young’s modulus E (GPa),3363585661.014859,3.3635856610148593,62.05313325541929,,2000000000.0,2.0
E,Young’s modulus E (GPa),4000000000.000001,4.000000000000001,66.81976506501758,,2000000000.0,2.0
E,Young’s modulus E (GPa),4756828460.010885,4.756828460010885,71.15913703431325,,2000000000.0,2.0
E,Young’s modulus E (GPa),5656854249.492382,5.656854249492382,75.00145437145787,,2000000000.0,2.0
E,Young’s modulus E (GPa),6727171322.029718,6.727171322029719,78.34893490004576,,2000000000.0,2.0
E,Young’s modulus E (GPa),8000000000.000003,8.000000000000004,81.23593412880246,,2000000000.0,2.0
theta_deg,Rotation angle θ (deg),-90.0,-90.0,46.08716632581317,,15.0,15.0
theta_deg,Rotation angle θ (deg),-78.75,-78.75,46.27902643019734,,15.0,15.0
theta_deg,Rotation angle θ (deg),-67.5,-67.5,46.62343185291244,,15.0,15.0
theta_deg,Rotation angle θ (deg),-56.25,-56.25,47.13536646411746,,15.0,15.0
theta_deg,Rotation angle θ (deg),-45.0,-45.0,47.80058274097927,,15.0,15.0
theta_deg,Rotation angle θ (deg),-33.75,-33.75,48.537777309975596,,15.0,15.0
theta_deg,Rotation angle θ (deg),-22.5,-22.5,49.201339492175094,,15.0,15.0
theta_deg,Rotation angle θ (deg),-11.25,-11.25,49.62827971308713,,15.0,15.0
theta_deg,Rotation angle θ (deg),0.0,0.0,49.69920947736409,,15.0,15.0
theta_deg,Rotation angle θ (deg),11.25,11.25,49.38268732308858,,15.0,15.0
theta_deg,Rotation angle θ (deg),22.5,22.5,48.748983133159925,,15.0,15.0
theta_deg,Rotation angle θ (deg),33.75,33.75,47.95040232977678,,15.0,15.0
theta_deg,Rotation angle θ (deg),45.0,45.0,47.17107052251282,,15.0,15.0
theta_deg,Rotation angle θ (deg),56.25,56.25,46.5613345426031,,15.0,15.0
theta_deg,Rotation angle θ (deg),67.5,67.5,46.190147727894534,,15.0,15.0
theta_deg,Rotation angle θ (deg),78.75,78.75,46.047058684437005,,15.0,15.0
theta_deg,Rotation angle θ (deg),90.0,90.0,46.087166325813314,,15.0,15.0
